category,name,address,phone,website,rating,total_ratings,place_id
Builders,AGATHĒ Builders - Northern Beaches Renovations & Extensions,"46/5 Ponderosa Parade, Warriewood NSW 2102, Australia",,https://agathebuilders.com.au/,4.9,14,ChIJF-zocaaenI4RdydST1MoVfY
Builders,Dependabuild: Northern Beaches Builders,"15 Clarence Ave, Dee Why NSW 2099, Australia",0403 891 956,https://dependabuild.com.au/,5,28,ChIJ3ddjBOxVDWsReSUjuyJmiGs
Builders,Ferrari Constructions Sydney | Home Renovation & Extension Builders Northern Beaches,"Warehouse 5/9 Dympna St, Cromer NSW 2099, Australia",0402 294 331,https://www.ferrariconstructions.com.au/,5,19,ChIJa7k034WqEmsR79aspyNwj-o
Builders,AAG Constructions,"80 Plateau Rd, Bilgola Plateau NSW 2107, Australia",0401 248 083,http://www.aagconstructions.com.au/,4.9,61,ChIJd9OJj5uqEmsREDLxYttaGRs
Builders,Builder Northern Beaches,"34 Roseberry St, Balgowlah NSW 2093, Australia",1300 171 864,http://buildernorthernbeaches.com.au/,5,1,ChIJSUlhXdurEmsRd2GcdvAW9Z0
Builders,Wattle Court Sydney North,"Unit 2/28 Orchard Rd, Brookvale NSW 2100, Australia",(02) 9939 3339,https://wattlecourt.com.au/builder/northern-beaches/,5,124,ChIJgfSvJFyqEmsRSyVuJonDkbA
Builders,Beachill Construction Solutions – Custom Home Builders,"57/176 S Creek Rd, Cromer NSW 2099, Australia",(02) 9971 0071,http://beachillconstruction.com.au/,5,16,ChIJozyAhnZVDWsRzaEjnXThxgM
Builders,Beaches Custom Construction,"84 Woorarra Ave, North Narrabeen NSW 2101, Australia",0410 063 581,https://www.beachescustomconstruction.com.au/,5,2,ChIJA9dAUnlVDWsRIu2Dvfa9S0w
Builders,Beaches Group,"14/1 Jubilee Ave, Warriewood NSW 2102, Australia",(02) 9940 2229,https://beachesgroup.com.au/,4.9,13,ChIJkzU8VOBTDWsRjZ0He39sJ_E
Builders,Bungalow Homes Granny Flats | Granny Flats Builders in Sydney,"79 Parkes Rd, Collaroy NSW 2097, Australia",(02) 9984 8950,https://bungalowgrannyflats.com.au/,4.9,74,ChIJ29-D2WNVDWsROkwSbkqK8ps
Builders,Sydney Beach Homes,"Unit 7/15 Rodborough Rd, Frenchs Forest NSW 2086, Australia",(02) 9939 2592,http://sydneybeachhomes.com.au/,4.9,17,ChIJBxyL_GCqEmsRpsMF6vMUgUA
Builders,All Stage Constructions,"5/7 Rodborough Rd, Frenchs Forest NSW 2086, Australia",0414 504 808,http://www.allstage.com.au/,5,15,ChIJJ26qmKKrEmsRHRfvSu20d8U
Builders,Bleyer Constructions,"2 Carolyn Ave, Beacon Hill NSW 2100, Australia",0418 213 048,https://bleyerconstructions.com.au/,5,6,ChIJtVO3z2-qEmsRfUivaTk7kR8
Builders,Peninsula Homes,"Quattro Building, 2403/4 Daydream St, Warriewood NSW 2102, Australia",(02) 9997 7248,https://peninsulahomes.com.au/,4.8,17,ChIJM6EJsI5UDWsRJ6bM6Fm_pns
Builders,Plan A Builders Pty Ltd,"190 Ocean St, Narrabeen NSW 2101, Australia",0429 030 851,https://planabuilders.com.au/,5,17,ChIJh7Q9o9BVDWsRVH02npXVopE
Builders,Lawson & Lovell Building Services,"123/20 Dale St, Brookvale NSW 2100, Australia",0422 459 159,https://www.northernbeachesbuilders.com.au/,5,4,ChIJyXmhGD6qEmsR5vmdG33Uon4
Cleaners,Northern Beaches Cleaning Service,"218a Pittwater Rd, Manly NSW 2095, Australia",0456 405 311,https://www.northernbeachescleaner.com.au/,4.9,31,ChIJRSPWRFmrEmsR4GPTVU2xWuc
Cleaners,Cleaners Northern beaches,"696 Pittwater Rd, Brookvale NSW 2100, Australia",(02) 9072 1967,https://cleanersnorthernbeaches.com.au/,5,4,ChIJ24NE5g6rEmsRVBlfoIMh6Nc
