name,address,phone,website,rating,total_ratings,place_id
Hemsworth & Son Handyman Northern Beaches,"92 Queens Parade E, Newport NSW 2106, Australia",0427 102 435,https://www.hemsworthson.com.au/,5,28,ChIJj6b5NiFTDWsRg4y2LkhXS_Q
Northern Beaches Handyman,"126 Grandview Dr, Newport NSW 2106, Australia",0416 233 912,http://www.northernbeacheshandyman.com.au/,5,9,ChIJlz0LhDdTDWsRrgeE0By3aG4
Prime Handyman Solutions,"1 Woodbine St, North Balgowlah NSW 2093, Australia",0427 597 665,http://primehandymansolutions.com.au/,5,14,ChIJO1-3pMirEmsRIECENUXxuOg
Frank's Handyman Northern Beaches Service,"Unit 1/19 Fielding St, Collaroy NSW 2097, Australia",0406 742 080,http://www.handymannorthernbeaches.com.au/,4.6,9,ChIJO3iQnmtVDWsRvQ8vXEHAN5U
The Artisan Handyman,"4 Glenside St, Balgowlah Heights NSW 2093, Australia",0416 103 968,http://artisanhandyman.com.au/,5,18,ChIJRTmm3parEmsRONmAkbFHp4o
By Request Handyman Services,"3 Burchmore Rd, Manly Vale NSW 2093, Australia",0423 154 757,http://www.byrequesthandyman.com/,4.9,18,ChIJ9Wr2t62rEmsR1YH1RDCdkS8
Handyman Services Manly Pty Ltd,"Unit 2/11 Eustace St, Manly NSW 2095, Australia",0405 948 795,,5,15,ChIJrf7j2rKrEmsRZ4cQZFjfIAA
Scotty`s Home Handyman Northern Beaches,"11/80 Crown Rd, Queenscliff NSW 2096, Australia",0418 255 940,,5,3,ChIJf2JSGhdxMwIR2G5DE9QbUcA
Toby's Tools,"65A Upper Beach St, Balgowlah NSW 2093, Australia",0423 962 173,http://www.tobystools.com.au/,5,36,ChIJec1KGJx2b04RpvK96xdtN8c
Get A Handyman,"115 Crescent Rd, Newport NSW 2106, Australia",0434 129 181,https://getahandyman.au/,5,1,ChIJHR0vdNuNcikRRPIG-yaR2RU
Manly Handyman,"52c Brighton St, Freshwater NSW 2096, Australia",0449 892 546,https://manlyhandyman.wixsite.com/chrisking,5,14,ChIJeyMtMnD_ZWkRiFmn8BWesoE
Plateau Property & Handyman Services,"Claudare St, Collaroy Plateau NSW 2097, Australia",0408 227 773,http://www.plateauhandyman.com.au/,5,19,ChIJc49x3JRVDWsR8b-AEQ3GaMI
